BU SCND;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;From Location SCND;HS Codes in ACDC;Cluster NAME
VM-ESP;ESP Components;1260450824;P00268 - Electronic Stability Program (ESP);1260450824;Plant Blaichach;"8481901000;8481901000";VALVE SLEEVE/BEARING
VM-ESP; ;1260526855;P00268 - Electronic Stability Program (ESP);1260526855;ITW Drawform - Waterbury Facility;98020019;SEALING CAP
VM-ESP;MV_OSx (Magnet Valve);1267691802;P00268 - Electronic Stability Program (ESP);1267691802;Warehouse Tochigi;84818090;SOLENOID VALVE
VM-EPS;EPSapa_Rack_9EZ_LHD_icon;4532024711;ER - EPS apa;4532024711;Plant Florence;87089412;TOOTHED RACK
VM-EPS;Car steer Assembly/Single part;7820036178;ER - EPS dp;7820036178;Stumpp + Schuele GmbH;7320205020;SPRING
VM-ATC;Retainer;0204223112;P00870 - Conventional Actuation;0204223112;NISSAN SPRING(THAILAND)Co.,Ltd;87083000;CLIP & CLAMP
VM-NBS; ;0204841864;P00110 - Electrical Actuation;0204841864;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;8536500090;FLUID LEVEL SWITCH
VM-NBS;Miscellaneous Other Actuation;0204254243;P00110 - Electrical Actuation;0204254243;Kgm Kugelfabrik Gmbh & Co. Kg;8482910000;BALL
VM-ESP;ESP Components;1260325821;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260325821;Plant Blaichach;8481901000;VALVE SLEEVE/BEARING
VM-ESP;ESP Components;1267040815;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1267040815;Fujita Rashi Kougyou Co. Ltd.;4016999090;DAMPER
VM-VDS;DF Components;F0C12B2066;P00244 - DF;F0C12B2066;MOLEX LLC;85389001;HOUSING SENSOR & other small
VM-ESP;ESP Components;1263414854;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1263414854;Fujita Rashi Kougyou Co. Ltd.;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;PS8E (Pressure Sensor);1267030874;P00268 - Electronic Stability Program (ESP);1267030874;Plant Blaichach;9026209090;SENSOR
VM-ATC;Other Actuation Parts;0204254984;P00870 - Conventional Actuation;0204254984;Plant Aguascalientes;4016935010;O-RING
VM-NBS;Miscellaneous Other Actuation;0204711689;P00110 - Electrical Actuation;0204711689;ContiTech Vibration Control France;4016939000;SEAL
VM-ESP;PE9 (Pump Element);1267090917;P00268 - Electronic Stability Program (ESP);1267090917;Plant Blaichach;8413910000;PUMP ELEMENT
VM-NBS;Miscellaneous Other Actuation;0204223205;P00110 - Electrical Actuation;0204223205;Ochiai Co., Ltd.;7318240000;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-NBS; ;020486409Z;P01893 - IPB;020486409Z;Franz Wolf;8708309990;INPUT ROD RETAINER
VM-ATC;Miscellaneous Other Actuation;0204806652;P00870 - Conventional Actuation;0204806652;MODISPREM, SA;3926909090;FILTER
VM-ESP;ABS Components;1260206824;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260206824;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-EPS;Car steer Assembly/Single part;0770199585;ER - EPS apa;0770199585;PORITE TAIWAN CO., LTD.;8483908080;TOOTHED LOCK WASHER
VM-EPS;Car steer Assembly/Single part;4532016942;ER - EPS apa;4532016942;THK Rhythm Automotive Canada Limite;99039405;AXIAL JOINT
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-ESP;ESP9.3 TA S1;0265299842;P00268 - Electronic Stability Program (ESP);0265299842;Plant Aguascalientes;8481200050;HYDRAULIC UNIT
VM-EPS;Car steer Assembly/Single part;7805053712;ER - EPS dp;7805053712;Reich LLC;87089412;PINION
VM-VDS;DF Components;F0C12K1042;P00244 - DF;F0C12K1042;WAC LLC;83023091;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-NBS;IPB1.0;0204847223;P01893 - IPB;0204847223;Baumann Springs LTD;7320209000;SPRING
VM-NBS; ;0204841864;P00110 - Electrical Actuation;0204841864;M+ACER AUTOMOTIVE SYSTEMS PV. LTD.;8536500090;FLUID LEVEL SWITCH
VM-VDS;DF Components;F00C1T8771;P00244 - DF;F00C1T8771;J.N.EBERLE;8543909000;BUSHING
VM-ESP;ESP Components;0265957439;P00268 - Electronic Stability Program (ESP);0265957439;Plant Ansbach;8412909015;ECU
VM-EPS;Car steer Assembly/Single part;4597000381;ER - EPS dp;4597000381;BOCAR SA DE CV;3923109000;HOUSING
VM-NBS;IPB2.0;0265023223;P01893 - IPB;0265023223;Plant Aguascalientes;8413500080;HYDRAULIC UNIT
VM-ESP;ESP Components;1260526857;P00268 - Electronic Stability Program (ESP);1260526857;Rochling Precision Components AG;87089900;PISTON
VM-EPS;Car steer Assembly/Single part;4532039489;ER - EPS apa;4532039489;Rongtai Industrial Development Leon;"3923900080; 8708947550";HOUSING
VM-ESP; ;1260526912;P00268 - Electronic Stability Program (ESP);1260526912;SCHERDEL GmbH;8708309990;SEAL
VM-ESP;ABS Components;1267431871;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1267431871;NBC MESHTEC INCORPORATED;8481901000;FILTER
VM-ESP;PE9 (Pump Element);1267090915;P00268 - Electronic Stability Program (ESP);1267090915;Plant Charleston;84812099;PUMP ELEMENT
VM-ATC;Miscellaneous Other Actuation;F01G1611AE;P00870 - Conventional Actuation;F01G1611AE;Crown Screw Corporation;8708309990;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-NBS; ;1263123840;P01893 - IPB;1263123840;Plant Blaichach;8481901000;TAPPET
VM-VDS;DF Components;F00C1C7083;P00244 - DF;F00C1C7083;ILLINOIS TOOL WORKS, INC.;39269099;CLIP & CLAMP
VM-ESP;ABS Components;1263030814;P00268 - Electronic Stability Program (ESP);1263030814;CHUBU TEPRO CO ,LTD;8481901000;ARMATURE
VM-VDS;DF Components;F0C12B2065;P00244 - DF;F0C12B2065;MOLEX LLC;85389001;HOUSING SENSOR & other small
VM-VDS;DF Components;F00C1T8771;P00244 - DF;F00C1T8771;J.N.EBERLE;8543909000;BUSHING
VM-ATC;Miscellaneous Other Actuation;0204828208;P00870 - Conventional Actuation;0204828208;ROGERS FOAM CORP;39269099;FILTER
VM-EPS;Car steer Assembly/Single part;7802040822;ER - EPS dp;7802040822;ContiTech  Vibration Control GmbH;99030128;PROTECTION CAP / SLEEVE
VM-ATC; ;02042A2197;P00870 - Conventional Actuation;02042A2197;RING SCREW LLC;98020019;ROD
VM-ESP;ESP Components;1263123842;P00268 - Electronic Stability Program (ESP);1263123842;Plant Blaichach;8481901000;TAPPET
VM-ESP;PE9 (Pump Element);1267090916;P00268 - Electronic Stability Program (ESP);1267090916;Plant Blaichach;8413910000;PUMP ELEMENT
VM-ATC;Miscellaneous Other Actuation;0204254659;P00870 - Conventional Actuation;0204254659;COLD HEADING COMPANY;73181599;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC;Miscellaneous Other Actuation;0204332307;P00870 - Conventional Actuation;0204332307;TRO Manufacturing Co., Inc.;87083099;PLATE/DISC
VM-NBS;LIPS-SB;1264500115;P00110 - Electrical Actuation;1264500115;Plant Blaichach;8543709990;SENSOR
VM-ESP;ABS Components;1263030814;P00268 - Electronic Stability Program (ESP);1263030814;CHUBU TEPRO CO ,LTD;8481901000;ARMATURE
VM-VDS;DF Components;F0C12T3020;P00244 - DF;F0C12T3020;KOSTAL KONTAKT SYSTEME INC;85369099;tbd
VM-VDS;DF Components;60022P0032;P00244 - DF;60022P0032;ILLINOIS TOOL WORKS, INC.;39269099;CLIP & CLAMP
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
VM-EPS;Car steer Assembly/Single part;0770197075;ER - EPS dp;0770197075;Ningbo Great Group Co.,Ltd.;8482105044;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;ESP Components;1260098866;P00268 - Electronic Stability Program (ESP);1260098866;HERMA GmbH;3919909090;ADHESIVE FILM, LABEL, STICKER
VM-EPS;Others Assembly/Single part;0770020031;ER - EPS apa;0770020031;Plant Florence;98020019;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;ESP Components;1260526859;P00268 - Electronic Stability Program (ESP);1260526859;SCHERDEL Wiesauplast Deutschland;87089900;PISTON
VM-ESP;PE9 (Pump Element);1267090915;P00268 - Electronic Stability Program (ESP);1267090915;Plant Blaichach;8413910000;PUMP ELEMENT
VM-ESP;ESP Components;1260526857;P00268 - Electronic Stability Program (ESP);1260526857;Rochling Precision Components AG;87089900;PISTON
VM-ESP;ABS9_EA5%_ECU;0265805151;P00265 - Anti-Lock Brake System (ABS) w/o TWS;0265805151;Warehouse Suzhou;90328910;ECU
VM-ESP;MV_OSx (Magnet Valve);1267696800;P00268 - Electronic Stability Program (ESP);1267696800;Plant Charleston;84812099;SOLENOID VALVE
VM-ESP;ABS Components;1267431868;P00268 - Electronic Stability Program (ESP);1267431868;Weisser + Griesshaber GmbH;8481901000;FILTER
VM-ATC; ;F01G1611VX;P00870 - Conventional Actuation;F01G1611VX;Crown Screw Corporation;73181500;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-EPS;Car steer Assembly/Single part;7818040194;ER - EPS apa;7818040194;Poeppelmann Kunststoff-Technik;3923500000;PROTECTION CAP / SLEEVE
VM-ESP;ESP Components;1263414854;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1263414854;Fujita Rashi Kougyou Co. Ltd.;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-VDS;DF Components;F0C12T3004;P00244 - DF;F0C12T3004;Sumitomo Wiring Systems USA Inc.;85369099;tbd
VM-CVS;Truck steer Assembly/Single part;8298376107;CS - Electr. Steering;8298376107;Valeo AutoElectric Magyarorszag Kft;9031809090;SENSOR
VM-ATC; ;0204864JT8;P00870 - Conventional Actuation;0204864JT8;Plant Bursa;87083000;BRAKE BOOSTER
VM-VDS;DF Components;F00C1T8788;P00244 - DF;F00C1T8788;J.N.EBERLE;73269099;BUSHING
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-ESP;ESP Components;1260098862;P00268 - Electronic Stability Program (ESP);1260098862;HERMA GmbH;99030125;ADHESIVE FILM, LABEL, STICKER
VM-EPS;Car steer Assembly/Single part;7820036191;ER - EPS dp;7820036191;MID CONTINENT SPRING;73202005;SPRING
VM-VDS;DF Components;F0C12B2066;P00244 - DF;F0C12B2066;MOLEX LLC;85389001;HOUSING SENSOR & other small
VM-NBS;Miscellaneous Other Actuation;0204711689;P00110 - Electrical Actuation;0204711689;ContiTech Vibration Control France;4016939000;SEAL
VM-ESP;ESP Components;1265149R18;P00268 - Electronic Stability Program (ESP);1265149R18;Asia-pacific light alloy Nantong;76042990;EXTRUDED PROFILE ALU
VM-VDS;DF Components;F00C1D4504;P00249 - Other Sensors;F00C1D4504;TE Connectivity Corporation;85369099;tbd
VM-NBS;iBooster Gen2 parts;0204864663;P00110 - Electrical Actuation;0204864663;ROGERS FOAM CORP;39269099;GASKET
VM-EPS;Car steer Assembly/Single part;4532003219;ER - EPS dp;4532003219;iwis mechatronics Inc.;87089412;COVER SENSOR
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
VM-VDS;DF Components;8909007010;P00244 - DF;8909007010;NXP Semiconductors Netherlands B.V. (manuell angepasst);90319000;RESISTORS DIODES CRYSTALS CAPACITORS
VM-ATC;Miscellaneous Other Actuation;F01G16204M;P00870 - Conventional Actuation;F01G16204M;OCHIAI CO., LTD.;73199000;RESERVOIR CAP
VM-VDS;DF Components;F00C1T8788;P00244 - DF;F00C1T8788;J.N.EBERLE;8543909000;BUSHING
VM-ATC;iBooster Gen1;0204724065;P00870 - Conventional Actuation;0204724065;Crown Screw Corporation;8708309990;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC;Miscellaneous Other Actuation;0204865224;P00870 - Conventional Actuation;0204865224;ROGERS FOAM CORP;39199099;tbd
VM-ESP;TCS Components;1260522805;P00268 - Electronic Stability Program (ESP);1260522805;MAHLE Electric Drives Bovec d.o.o.;3926909090;PROTECTION CAP / SLEEVE
VM-ESP;TCS Components;1260450826;P00268 - Electronic Stability Program (ESP);1260450826;Plant Blaichach;"8481901000;8481901000";VALVE SLEEVE/BEARING
VM-VDS;DF Components;F0C12B2054;P00244 - DF;F0C12B2054;D A INC;39269099;CLIP & CLAMP
VM-ATC;Miscellaneous Other Actuation;F02B333626;P00870 - Conventional Actuation;F02B333626;LE JOINT FRANCAIS;40169340;PLATE/DISC
VM-NBS;IPB1.0;0204847224;P01893 - IPB;0204847224;Baumann Springs LTD;7320209000;SPRING
VM-ATC;Other Actuation Parts;F01G16002L;P00870 - Conventional Actuation;F01G16002L;Warehouse Higashimatsuyama ;73181600;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-EPS;Car steer Assembly/Single part;8613600218;ER - EPS apa;8613600218;Plant Maklar;9031808085;SENSOR
VM-NBS; ;1260685812;P01893 - IPB;1260685812;FIT Voltaira Europe GmbH;8536901100;tbd
VM-ESP;PS8E (Pressure Sensor);1267030874;P00268 - Electronic Stability Program (ESP);1267030874;Plant Blaichach;"9026209090;9026209090";SENSOR
VM-EPS;Car steer Assembly/Single part;4532039489;ER - EPS apa;4532039489;Rongtai Industrial Development Leon;3923900080;HOUSING
VM-ESP;ESP Components;1260098858;P00268 - Electronic Stability Program (ESP);1260098858;Whitlam Group;3919909090;ADHESIVE FILM, LABEL, STICKER
VM-EPS;Car steer Assembly/Single part;4532021408;ER - EPS apa;4532021408;Reich LLC;87089412;PINION
VM-EPS;Car steer Assembly/Single part;4597000563;ER - EPS apa;4597000563;Hermann Erkert GmbH;99030128;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC;Miscellaneous Other Actuation;0204703706;P00870 - Conventional Actuation;0204703706;MODISPREM, SA;3926909090;FILTER
VM-NBS;VH (Valve Housing);1267501006;P01893 - IPB;1267501006;Plant Charleston;8708309990;HOUSING VALVE
VM-VDS;DF Components;F00C1H3089;P00244 - DF;F00C1H3089;Hangzhou Amphenol JET;85369090;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-VDS; ;F00C1T8737;P00244 - DF;F00C1T8737;SANSHO SHOJI CO., LTD.;3926909090;CLIP & CLAMP
VM-EPS;Car steer Assembly/Single part;4532027549;ER - EPS apa;4532027549;Reich LLC;87089412;PINION
VM-ESP;ESP Components;1260313890;P00269 - Coop. Regenerative Braking System (CRBS);1260313890;A. Berger Praezisionsdrehteile;8481901000;VALVE SLEEVE/BEARING
VM-ESP;ABS Components;1267431869;P00268 - Electronic Stability Program (ESP);1267431869;GVS S.p.a.;8481901000;FILTER
VM-CVS;Truck steer Assembly/Single part;8095033140;CS - Hydr. Steering;8095033140;HEUTE + COMP GmbH + Co.KG,;3926909090;SEAL
VM-VDS;DF Components;F00C1D3520;P00244 - DF;F00C1D3520;Meku Mechatronische Systeme GmbH;8536901100;tbd
VM-ATC;Miscellaneous Other Actuation;0204808116;P00870 - Conventional Actuation;0204808116;EJOT ATF, LP;73181599;ROD
VM-ESP;ESP Components;1267040815;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1267040815;Fujita Rashi Kougyou Co. Ltd.;4016999090;DAMPER
VM-VDS;DF Components;F0C12T3020;P00244 - DF;F0C12T3020;KOSTAL KONTAKT SYSTEME INC;85369099;tbd
VM-ATC;Miscellaneous Other Actuation;0204707876;P00870 - Conventional Actuation;0204707876;ROGERS FOAM CORP;39269099;GASKET
VM-EPS;Car steer Assembly/Single part;4532003219;ER - EPS dp;4532003219;iwis mechatronics Inc.;87089412;COVER SENSOR
VM-VDS;DF11;0265011412;P00244 - DF;0265011412;Plant Eisenach;90318000;SENSOR
VM-EPS;EPSapa_1KP_RHD_ivar_inboard_SCU3-B3a;4532048522;ER - EPS apa;4532048522;Plant Queretaro;8708947550;RACK+PINION EL. STEERING
VM-ATC;ACTUATION OTH.P.;0204254984;P00870 - Conventional Actuation;0204254984;Plant Aguascalientes;4016935010;O-RING
VM-ESP;ESP Components;1267040815;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1267040815;Fujita Rashi Kougyou Co. Ltd.;4016999090;DAMPER
VM-EPS;Car steer Assembly/Single part;4532027158;ER - EPS apa;4532027158;CTR AMERICA;99039405;AXIAL JOINT
VM-ESP;ESP Components;1260206825;P00268 - Electronic Stability Program (ESP);1260206825;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;ESP Components;1260526860;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260526860;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-ATC;Miscellaneous Other Actuation;0204254358;P00870 - Conventional Actuation;0204254358;KBS-Stanztechnik GmbH;8708309990;CLIP & CLAMP
VM-ESP;RVR (Return Valve);1267410812;P00268 - Electronic Stability Program (ESP);1267410812;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ESP; ;1267031873;P00268 - Electronic Stability Program (ESP);1267031873;A. Berger Praezisionsdrehteile;8479909090;SEALING CAP
VM-NBS;iBooster Gen1 Reservoir (Product);0204804973;P00110 - Electrical Actuation;0204804973;Teknia Rzeszow Sp z o.o.;8536500090;SERVICE KIT MA MISC.
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-VDS;DF Components;F00C1T8771;P00244 - DF;F00C1T8771;J.N.EBERLE;8543909000;BUSHING
VM-NBS; ;1263031856;P01893 - IPB;1263031856;Plant Blaichach;8481901000;ARMATURE
VM-VDS;DF Components;F0C12M1052;P00244 - DF;F0C12M1052;Sumitomo Wiring Systems USA Inc.;85389001;COVER OTHERs
VM-CVS;Truck steer Assembly/Single part;7752242449;CS - Hydr. Steering;7752242449;Brehm Praezisionstechnik Gmbh;8481201090;VALVE SLEEVE/BEARING
VM-CVS;Truck steer Assembly/Single part;8095037104;CS - Hydr. Steering;8095037104;Hugo Benzing GmbH & Co. KG;7318240000;RETAINING RING
VM-VDS;DF Components;F0C12K1060;P00244 - DF;F0C12K1060;WAC LLC;83023091;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;RVR (Return Valve);1267410813;P00268 - Electronic Stability Program (ESP);1267410813;Warehouse Tochigi;8481300000;CONTROL / CENTERING / FLOW-LIMITING / NON-RETURN  VALVE
VM-ATC; ;0204815873;P00870 - Conventional Actuation;0204815873;TRO Manufacturing Co., Inc.;87083099;FRONT/REAR SHELL
VM-EPS;Car steer Assembly/Single part;7818002338;ER - EPS apa;7818002338;TEKNIA TEPEJI SA DE CV;8708947550;COVER GEAR
VM-NBS;Miscellaneous Other Actuation;0204711689;P00110 - Electrical Actuation;0204711689;ContiTech Vibration Control France;4016939000;SEAL
VM-ESP;ESP Components;1260206826;P00268 - Electronic Stability Program (ESP);1260206826;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ESP;PE9 (Pump Element);1267090916;P00268 - Electronic Stability Program (ESP);1267090916;Plant Blaichach;8413910000;PUMP ELEMENT
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-ATC;Miscellaneous Other Actuation;0204256208;P00870 - Conventional Actuation;0204256208;Fukoku (Shanghai) Trading Co., Ltd.;40169340;PLATE/DISC
VM-ESP;ESP Components;1260313890;P00269 - Coop. Regenerative Braking System (CRBS);1260313890;A. Berger Praezisionsdrehteile;8481901000;VALVE SLEEVE/BEARING
VM-ATC; ;F01G1611VX;P00870 - Conventional Actuation;F01G1611VX;Crown Screw Corporation;73181500;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;ESP Components;1267040814;P00268 - Electronic Stability Program (ESP);1267040814;EJOT SE & Co. KG;40169390;DAMPER
VM-ESP;ESP Components;1263123839;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1263123839;Plant Blaichach;8481909040;TAPPET
VM-ESP;ESP Components;1260526860;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260526860;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KRS - SEIGERT GmbH;8482910000;BALL
VM-ATC; ;0204789478;P00870 - Conventional Actuation;0204789478;R & L SPRING COMPANY;73202005;SPRING
VM-VDS;DF Components;F00C1T8915;P00244 - DF;F00C1T8915;Parker Hannifin GmbH;4016931000;O-RING
VM-VDS;DF Components;F00C1T8771;P00244 - DF;F00C1T8771;J.N.EBERLE;84314390;BUSHING
VM-ESP;ESP Components;1267040815;P00268 - Electronic Stability Program (ESP);1267040815;EJOT SE & Co. KG;90329000;DAMPER
VM-VDS;DF Components;F00C1S8103;P00244 - DF;F00C1S8103;ARNOLD UMFORMTECHNIK GMBH & CO KG;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;RPM (Rotor Position Magnet);1267031878;P00268 - Electronic Stability Program (ESP);1267031878;Plant Blaichach;9031900090;VALVE SLEEVE/BEARING
VM-ESP;CDD (Damper);1267031870;P00268 - Electronic Stability Program (ESP);1267031870;Plant Blaichach;8413919060;DAMPER
VM-ATC;Miscellaneous Other Actuation;0204770366;P00870 - Conventional Actuation;0204770366;TRO Manufacturing Co., Inc.;87083099;PLATE/DISC
VM-EPS;EPSdp_Worm_9EZ_LHD;4532025450;ER - EPS dp;4532025450;IMS Gear Georgia LLC;84834009;WORM
VM-EPS;Car steer Assembly/Single part;4532039489;ER - EPS apa;4532039489;Rongtai Industrial Development Leon;99039405;HOUSING
VM-ESP;ESP Components;1260526860;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260526860;SCHERDEL Wiesauplast Deutschland;8708309990;PISTON
VM-EPS;Car steer Assembly/Single part;4532016940;ER - EPS apa;4532016940;THK Rhythm Automotive Canada Limite;99039405;AXIAL JOINT
VM-ATC;Miscellaneous Other Actuation;0204332495;P00870 - Conventional Actuation;0204332495;UFP TECHNOLOGIES INC;39269099;FILTER
VM-ESP;ESP Components;1260098858;P00268 - Electronic Stability Program (ESP);1260098858;Whitlam Group;3919909090;ADHESIVE FILM, LABEL, STICKER
VM-ESP;ABS Components;1265149R45;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1265149R45;Kaiser Aluminum;99038502;EXTRUDED PROFILE ALU
VM-ESP;ESP9.3/UHD/RBU_EV7%_ECU;0265957024;P00268 - Electronic Stability Program (ESP);0265957024;Warehouse Suzhou;90328910;ECU
VM-EPS;Car steer Assembly/Single part;0770195182;ER - EPS dp;0770195182;Plant Florence;87089412;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ESP;ESP Components;1903230010;P00268 - Electronic Stability Program (ESP);1903230010;KGM Kugelfabrik GmbH & Co. KG;8482910000;BALL
VM-ESP;PS10 (Pressure Sensor);1267030880;P00268 - Electronic Stability Program (ESP);1267030880;Plant Blaichach;9026209090;SENSOR
